Date,sim,obs
1999-10-01,0.036401401,0.018039041
1999-11-01,0.753169923,0.505396089
1999-12-01,1.329012204,0.874145601
2000-01-01,1.837769902,1.236886381
2000-02-01,2.757664569,1.570232092
2000-03-01,3.469598461,1.623766018
2000-04-01,3.948726362,1.937979269
2000-05-01,3.258932632,1.796886515
2000-06-01,2.848116442,1.295423483
2000-07-01,1.814115956,0.16077599
2000-08-01,1.172077039,0.016535715
2000-09-01,0.850998353,0.035670338
2000-10-01,1.161969259,0.114203187
2000-11-01,1.439080089,0.209644406
2000-12-01,2.031396579,0.580106163
2001-01-01,2.479634477,0.94954461
2001-02-01,3.085215542,1.259081928
2001-03-01,3.658712312,1.781639738
2001-04-01,3.856905918,2.09854554
2001-05-01,3.778559288,1.996025043
2001-06-01,2.561527504,1.019263373
2001-07-01,1.628186179,0.020333701
2001-08-01,1.256409588,0.014743064
2001-09-01,1.0725248,0.062313079
2001-10-01,1.155519458,0.157607339
2001-11-01,1.776528316,1.017299428
2001-12-01,2.436573083,1.806700921
2002-01-01,3.184169796,2.19305099
2002-02-01,3.854623238,3.091089379
2002-03-01,4.631547533,4.26533323
2002-04-01,5.478753483,5.070005644
2002-05-01,5.750759371,6.074606498
2002-06-01,4.222371704,5.362099317
2002-07-01,2.943653265,1.916286137
2002-08-01,1.89754047,0.036042345
2002-09-01,1.4833886,0.23022157
2002-10-01,1.145658426,0.271014331
2002-11-01,1.040518916,1.023024869
2002-12-01,1.52196148,3.383573687
2003-01-01,1.978882455,4.015143729
2003-02-01,2.851984521,4.272874761
2003-03-01,4.792438821,4.404084606
2003-04-01,5.842107224,5.395912119
2003-05-01,6.624008523,6.668398889
2003-06-01,5.603632965,6.678858206
2003-07-01,3.766710077,5.608870112
2003-08-01,2.570852762,2.722862244
2003-09-01,2.202290635,0.843567208
2003-10-01,2.519403361,3.308715054
2003-11-01,2.823168808,6.22828613
2003-12-01,3.406307562,6.637577855
2004-01-01,4.357486555,7.153626668
2004-02-01,5.283107907,8.067849262
2004-03-01,6.234959926,9.398412887
2004-04-01,6.818752589,10.76909042
2004-05-01,7.012255428,10.18429519
2004-06-01,5.821679516,8.483784584
2004-07-01,4.02718885,2.394555613
2004-08-01,2.923741768,0.27672274
2004-09-01,2.364694191,0.115103284
2004-10-01,2.608739362,0.20802795
2004-11-01,3.043932145,0.280813882
2004-12-01,3.653635785,0.57055263
2005-01-01,4.752076704,1.515518035
2005-02-01,6.115007827,1.935950206
2005-03-01,7.155754261,2.494315701
2005-04-01,8.351624824,2.978597987
2005-05-01,8.242120999,5.412624999
2005-06-01,7.517987777,5.556801924
2005-07-01,5.073945322,3.587593281
2005-08-01,3.481496386,0.82890198
2005-09-01,2.737300952,0.971270298
2005-10-01,2.634516127,1.157832403
2005-11-01,2.836737745,1.82165068
2005-12-01,3.059307764,2.289312978
2006-01-01,3.904931124,3.011928001
2006-02-01,5.304246263,4.550576559
2006-03-01,6.51822648,5.554667434
2006-04-01,7.164360671,6.833747073
2006-05-01,6.114141073,6.724952458
2006-06-01,4.752744191,4.999495398
2006-07-01,3.328539082,1.286248137
2006-08-01,2.310927799,0.520461418
2006-09-01,1.880128959,0.343640761
2006-10-01,1.836596834,0.468641629
2006-11-01,2.294941345,0.645496225
2006-12-01,3.254186086,1.11987589
2007-01-01,3.66322273,2.808475672
2007-02-01,4.023300167,3.572163171
2007-03-01,5.186426641,4.942225402
2007-04-01,5.630281865,5.634054878
2007-05-01,4.801105028,5.872721672
2007-06-01,4.025544602,5.660191453
2007-07-01,2.791887823,4.228950677
2007-08-01,2.029491893,1.653410117
2007-09-01,1.617181175,1.199252875
2007-10-01,1.727056502,1.305659239
2007-11-01,1.833282314,1.424096359
2007-12-01,2.205001339,1.570008335
2008-01-01,3.370280017,2.119759829
2008-02-01,4.333646667,4.172786537
2008-03-01,5.181369205,5.769273703
2008-04-01,5.908435178,8.147902683
2008-05-01,5.556082621,7.773889443
2008-06-01,4.209471646,7.006439185
2008-07-01,2.891947861,4.207867639
2008-08-01,2.121058187,0.874687769
2008-09-01,1.852489677,1.521180959
2008-10-01,1.762160065,2.583395952
2008-11-01,1.94268434,2.861851112
2008-12-01,2.484227967,3.111352131
2009-01-01,3.470919215,4.518119874
2009-02-01,4.945614925,5.368487386
2009-03-01,6.350339235,5.88777151
2009-04-01,7.236818903,6.504854332
2009-05-01,7.094228851,5.724380401
2009-06-01,6.028631699,5.578992138
2009-07-01,4.536388778,4.128479325
2009-08-01,2.814890576,2.930322572
2009-09-01,2.254869181,2.676397168
2009-10-01,1.828400498,2.905427297
2009-11-01,2.007250053,3.88409987
2009-12-01,2.657015935,5.256414988
2010-01-01,2.945994807,5.632460311
2010-02-01,4.041531467,6.377127172
2010-03-01,5.260213262,7.383872462
2010-04-01,6.534309668,8.813034429
2010-05-01,6.948886296,9.462168183
2010-06-01,6.804403386,8.408419253
2010-07-01,5.012110567,4.102987609
2010-08-01,3.456134529,1.470764971
2010-09-01,2.721584443,0.846700441
