Date,Temperature,Precipitation,GlacierRunoff
2030-01-01,-24.53748534,21.52323454,0
2030-02-01,-24.01150184,16.67500893,0
2030-03-01,-21.8268044,30.31450255,0
2030-04-01,-16.75620291,47.35060569,0
2030-05-01,-12.15213684,49.02992339,0
2030-06-01,-6.783351567,39.51160963,1.34
2030-07-01,-0.96844051,26.86388382,38.94
2030-08-01,4.096185585,16.17547148,123.34
2030-09-01,4.116258952,10.38320391,137.63
2030-10-01,-1.659703844,20.85911407,54.52
2030-11-01,-9.536525124,19.6064585,1.36
2030-12-01,-15.93517506,19.71899647,0
2031-01-01,-22.55677662,18.04128017,0
2031-02-01,-24.71296437,21.72738099,0
2031-03-01,-22.6150022,28.19830194,0
2031-04-01,-16.79246451,41.2961386,0
2031-05-01,-11.35450621,47.22390499,0
2031-06-01,-5.955140626,42.16062195,3.17
2031-07-01,-0.946600256,28.60017327,38.37
2031-08-01,3.697141331,19.52718096,118.87
2031-09-01,3.86804852,13.68166647,134.41
2031-10-01,-1.050200905,14.64358005,60.72
2031-11-01,-8.087368956,23.66112223,2.86
2031-12-01,-15.95020506,18.58742253,0
2032-01-01,-21.96280448,22.86153146,0
2032-02-01,-24.04575074,20.13328408,0
2032-03-01,-21.13491311,29.59036385,0
2032-04-01,-15.8105639,40.23638164,0
2032-05-01,-10.73101969,40.78526093,0.01
2032-06-01,-5.076125976,32.20237818,3.27
2032-07-01,-0.286559737,28.81943675,50.37
2032-08-01,3.92830103,20.00948486,121.37
2032-09-01,3.790994249,14.01493318,130.27
2032-10-01,-0.977204335,15.25773135,58.69
2032-11-01,-8.690597366,17.53646963,2.05
2032-12-01,-17.54673352,22.36130029,0
2033-01-01,-22.91543539,19.47413552,0
2033-02-01,-24.80828857,21.38981098,0
2033-03-01,-21.57016859,28.11872283,0
2033-04-01,-15.99923832,45.84926703,0
2033-05-01,-11.28001317,42.63849288,0
2033-06-01,-5.511982843,36.9927083,3.25
2033-07-01,0.111380467,21.7004504,57.7
2033-08-01,3.820201655,18.19630761,119.75
2033-09-01,3.950229581,12.26044563,136.36
2033-10-01,-1.416183019,14.81299229,53.88
2033-11-01,-8.131546205,17.45298622,1.9
2033-12-01,-15.37834019,22.65368019,0
2034-01-01,-22.59199719,20.35405168,0
2034-02-01,-24.04821348,20.20953577,0
2034-03-01,-22.06724656,30.01869503,0
2034-04-01,-16.58696617,45.85058103,0
2034-05-01,-10.99763799,39.93326555,0
2034-06-01,-6.02192867,41.65426631,2.22
2034-07-01,-0.194184566,22.30849482,48.72
2034-08-01,3.662368339,17.87662486,119.35
2034-09-01,3.647774419,12.85491786,130.64
2034-10-01,-1.217006426,19.28928696,56.13
2034-11-01,-8.241278282,20.68459483,2.46
2034-12-01,-16.19124459,20.41486973,0
2035-01-01,-22.72160802,21.26087841,0
2035-02-01,-24.64233973,21.85174878,0
2035-03-01,-21.71391726,25.79920365,0
2035-04-01,-16.53914956,39.63327905,0
2035-05-01,-10.66479117,42.38639218,0
2035-06-01,-4.44408233,34.24403972,8.67
2035-07-01,0.369031781,24.02364785,59.2
2035-08-01,4.448874958,14.87253092,131.93
2035-09-01,4.15385159,11.79307195,140.57
2035-10-01,-1.085854271,17.05673974,56.56
2035-11-01,-8.90220217,20.61402449,2.38
2035-12-01,-16.18078101,18.46187437,0
2036-01-01,-22.73523498,20.17305053,0
2036-02-01,-23.89127038,16.42276374,0
2036-03-01,-21.13030796,27.5600686,0
2036-04-01,-16.14675684,45.44797964,0
2036-05-01,-10.60326696,36.49607368,0.01
2036-06-01,-4.608481201,35.52372031,6.01
2036-07-01,0.93885318,19.13094959,69.9
2036-08-01,4.510136875,20.30695232,133.77
2036-09-01,3.793294263,13.03082511,133.32
2036-10-01,-0.997654031,19.18472405,56.72
2036-11-01,-7.894199356,17.32151344,3.47
2036-12-01,-16.21711777,19.54843068,0
2037-01-01,-22.45078177,19.64823872,0
2037-02-01,-24.22963598,22.15286867,0
2037-03-01,-20.77783737,33.98303972,0
2037-04-01,-16.1689312,40.89976013,0
2037-05-01,-11.39867833,43.14808754,0
2037-06-01,-4.970065445,36.94824628,6.8
2037-07-01,0.528094995,26.39685152,64.18
2037-08-01,4.118738689,25.20936918,125.2
2037-09-01,3.640118361,18.04202998,128.23
2037-10-01,-0.749714066,14.55362318,64.86
2037-11-01,-8.295462917,17.48133353,2.59
2037-12-01,-15.67541069,27.19467965,0
2038-01-01,-21.92676942,17.16168664,0
2038-02-01,-22.92567396,23.60711827,0
2038-03-01,-21.71585732,29.27055001,0
2038-04-01,-16.38288784,43.16179311,0
2038-05-01,-10.8807092,49.37336735,0
2038-06-01,-5.616146204,41.94753785,3.47
2038-07-01,-0.428346625,24.77609445,47.15
2038-08-01,4.637826319,16.83344871,135.76
2038-09-01,4.35894489,14.53515526,143.79
2038-10-01,-1.163263407,20.1413769,58.42
2038-11-01,-8.368272321,19.58998279,2.78
2038-12-01,-15.52850813,18.72293923,0
2039-01-01,-22.49852057,22.6178338,0
2039-02-01,-24.73486276,20.59993029,0
2039-03-01,-21.51844323,33.21620979,0
2039-04-01,-16.61611318,39.29356947,0
2039-05-01,-10.86890506,46.07123513,0
2039-06-01,-5.423886561,40.11662318,4.2
2039-07-01,-0.205101049,24.30098222,51.95
2039-08-01,4.569351543,15.80739342,132.78
2039-09-01,4.408590187,10.29827539,145.56
2039-10-01,-1.030874493,14.45995513,63.42
2039-11-01,-8.5172961,18.69751716,3.17
2039-12-01,-15.89357401,19.14836223,0
2040-01-01,-22.14897656,15.20380885,0
2040-02-01,-23.5156194,20.77175629,0
2040-03-01,-22.17110999,26.31727612,0
2040-04-01,-15.6645718,39.49923103,0
2040-05-01,-10.3282607,48.7651662,0.01
2040-06-01,-4.771921425,38.01735477,5.91
2040-07-01,1.120957798,21.14047701,70.25
2040-08-01,4.362061115,16.74500803,131.52
2040-09-01,3.845919445,10.895861,135.05
2040-10-01,-0.713116822,11.67885774,66.08
2040-11-01,-7.326342106,16.18835287,6.02
2040-12-01,-15.31505326,20.60381677,0
2041-01-01,-22.56700768,15.93961819,0
2041-02-01,-23.71034606,22.01222774,0
2041-03-01,-21.60806139,26.09394477,0
2041-04-01,-15.84792151,38.51123097,0
2041-05-01,-10.16295007,43.50461432,0
2041-06-01,-4.671635728,51.52697619,5.93
2041-07-01,0.557432014,24.3644807,60.5
2041-08-01,4.998550252,13.36041069,140.71
2041-09-01,4.426489745,13.41066725,147.22
2041-10-01,-1.206612673,18.44682487,57.45
2041-11-01,-9.247682154,19.87612648,0.96
2041-12-01,-16.08533012,19.8524902,0
2042-01-01,-22.12177098,18.58104965,0
2042-02-01,-23.66244767,23.94028587,0
2042-03-01,-21.12027514,31.62251421,0
2042-04-01,-16.14575167,44.73506543,0
2042-05-01,-9.922101843,38.28946757,0.01
2042-06-01,-4.676066511,38.58224766,5.9
2042-07-01,0.10918614,26.28506841,54.53
2042-08-01,4.296162442,18.55589873,128.04
2042-09-01,4.111687802,14.80075919,137.45
2042-10-01,-1.8289966,23.92148939,52.53
2042-11-01,-9.046010494,14.5295698,0.86
2042-12-01,-15.87047113,19.63458644,0
2043-01-01,-21.73945422,19.35707201,0
2043-02-01,-23.76213574,22.85059243,0
2043-03-01,-22.32371891,29.94190078,0
2043-04-01,-16.84490212,39.93169508,0
2043-05-01,-10.10699273,44.17005834,0
2043-06-01,-5.6804589,44.54232627,3.99
2043-07-01,-0.073213363,22.95635374,53.62
2043-08-01,4.259050658,11.72147648,131.84
2043-09-01,3.877821767,12.18450074,134.93
2043-10-01,-1.202100271,16.1080477,58.54
2043-11-01,-8.507269552,18.77596798,1.97
2043-12-01,-15.71743562,25.31374813,0
2044-01-01,-21.90544703,22.3079273,0
2044-02-01,-24.24863725,18.14892711,0
2044-03-01,-20.93658217,30.77672885,0
2044-04-01,-16.02571526,44.16809416,0
2044-05-01,-9.869564277,45.92660245,0
2044-06-01,-5.107809067,31.93670501,6.38
2044-07-01,-0.106227052,28.34217835,52.57
2044-08-01,4.3405044,19.15395031,130.39
2044-09-01,4.20935161,18.02863448,142.03
2044-10-01,-1.116329227,14.48134938,60.8
